Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prototyp_Filialsuche (RC 18),Firefox 58.0,,2018-03-07 13:48:32,2018-03-07 14:02:00,"13m - 28,296s",ERROR
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/01_Testfall,Firefox 58.0,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-07 13:48:33,2018-03-07 13:48:54,"21,921s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:48:33,2018-03-07 13:48:43,"9,651s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:48:43,2018-03-07 13:48:43,"0,016s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:48:43,2018-03-07 13:48:43,"0,063s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:48:43,2018-03-07 13:48:46,"3,314s",PASSED
delay,Firefox 58.0,,2018-03-07 13:48:46,2018-03-07 13:48:51,"5,021s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-07 13:48:51,2018-03-07 13:48:51,"0,141s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Firefox 58.0,,2018-03-07 13:48:51,2018-03-07 13:48:54,"3,091s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:48:54,2018-03-07 13:48:54,"0,260s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/02_Testfall,Firefox 58.0,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-07 13:48:54,2018-03-07 13:49:05,"10,996s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:48:55,2018-03-07 13:48:58,"3,817s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:48:58,2018-03-07 13:48:58,"0,000s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:48:58,2018-03-07 13:48:58,"0,036s",PASSED
navigateToUrl,Firefox 58.0,,2018-03-07 13:48:58,2018-03-07 13:49:00,"1,420s",PASSED
delay,Firefox 58.0,,2018-03-07 13:49:00,2018-03-07 13:49:05,"5,002s",PASSED
"Statement - wes = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElements(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(filial_map), 5)",Firefox 58.0,,2018-03-07 13:49:05,2018-03-07 13:49:05,"0,023s",PASSED
"Statement - For ([i = 0, i < wes.size(), (i++)])",Firefox 58.0,,2018-03-07 13:49:05,2018-03-07 13:49:05,"0,098s",PASSED
closeBrowser,Firefox 58.0,,2018-03-07 13:49:05,2018-03-07 13:49:05,"0,481s",PASSED
,,,,,,
Test Cases/Prototyp_Filialsuche (RC 18)/03_Testfall,Firefox 58.0,Initial: Alle Filial-Icon sind auf der Karte angezeigt,2018-03-07 13:49:06,2018-03-07 13:49:17,"11,493s",PASSED
openBrowser,Firefox 58.0,,2018-03-07 13:49:06,2018-03-07 13:49:08,"2,690s",PASSED
deleteAllCookies,Firefox 58.0,,2018-03-07 13:49:08,2018-03-07 13:49:08,"0,001s",PASSED
maximizeWindow,Firefox 58.0,,2018-03-07 13:49:08,2018-03-07 13:49:08,"0,043s",PASSED
